#,tamanho,threads,sequencial,paralelo,libc
1,10,1,0.000001,0.000261,0.000003
2,10,1,0.000001,0.000243,0.000003
3,10,1,0.000001,0.000224,0.000003
4,10,1,0.000001,0.000199,0.000002
5,10,1,0.000000,0.000188,0.000002
6,10,1,0.000001,0.000421,0.000003
7,10,1,0.000001,0.000164,0.000002
8,10,1,0.000001,0.000411,0.000002
9,10,1,0.000001,0.000142,0.000002
10,10,1,0.000001,0.000147,0.000002
11,10,1,0.000001,0.000149,0.000002
12,10,1,0.000001,0.000147,0.000002
13,10,1,0.000001,0.000458,0.000003
14,10,1,0.000001,0.000246,0.000003
15,10,1,0.000001,0.000186,0.000003
16,10,1,0.000001,0.000174,0.000002
17,10,1,0.000001,0.000153,0.000002
18,10,1,0.000001,0.000175,0.000002
19,10,1,0.000000,0.000202,0.000002
20,10,1,0.000001,0.000418,0.000003
21,10,1,0.000000,0.000151,0.000002
22,10,1,0.000000,0.000189,0.000003
23,10,1,0.000001,0.000170,0.000003
24,10,1,0.000000,0.000422,0.000003
25,10,1,0.000001,0.000155,0.000002
26,10,1,0.000001,0.000148,0.000002
27,10,1,0.000001,0.000409,0.000002
28,10,1,0.000001,0.000420,0.000003
29,10,1,0.000001,0.000141,0.000002
30,10,1,0.000000,0.000145,0.000002
1,10,2,0.000002,0.002093,0.000004
2,10,2,0.000000,0.000510,0.000003
3,10,2,0.000001,0.000710,0.000003
4,10,2,0.000001,0.000691,0.000003
5,10,2,0.000001,0.000487,0.000003
6,10,2,0.000001,0.000233,0.000002
7,10,2,0.000001,0.000521,0.000003
8,10,2,0.000001,0.000698,0.000003
9,10,2,0.000001,0.000482,0.000002
10,10,2,0.000001,0.000675,0.000003
11,10,2,0.000001,0.000683,0.000002
12,10,2,0.000001,0.000463,0.000002
13,10,2,0.000001,0.000680,0.000002
14,10,2,0.000000,0.000665,0.000003
15,10,2,0.000001,0.000646,0.000002
16,10,2,0.000001,0.000256,0.000002
17,10,2,0.000001,0.000453,0.000002
18,10,2,0.000001,0.000709,0.000002
19,10,2,0.000001,0.001517,0.000004
20,10,2,0.000001,0.000798,0.000002
21,10,2,0.000001,0.004692,0.000003
22,10,2,0.000001,0.000555,0.000003
23,10,2,0.000001,0.000824,0.000003
24,10,2,0.000001,0.000819,0.000003
25,10,2,0.000001,0.000817,0.000003
26,10,2,0.000001,0.000771,0.000003
27,10,2,0.000001,0.000824,0.000004
28,10,2,0.000001,0.000301,0.000002
29,10,2,0.000001,0.000823,0.000004
30,10,2,0.000001,0.001007,0.000003
1,10,4,0.000001,0.006189,0.000003
2,10,4,0.000001,0.002746,0.000004
3,10,4,0.000001,0.003503,0.000003
4,10,4,0.000001,0.006828,0.000004
5,10,4,0.000001,0.009438,0.000003
6,10,4,0.000012,0.002085,0.000002
7,10,4,0.000001,0.003455,0.000003
8,10,4,0.000001,0.002340,0.000002
9,10,4,0.000002,0.003629,0.000003
10,10,4,0.000001,0.003984,0.000003
11,10,4,0.000001,0.002851,0.000003
12,10,4,0.000000,0.003197,0.000002
13,10,4,0.000001,0.002867,0.000002
14,10,4,0.000001,0.002974,0.000002
15,10,4,0.000001,0.002889,0.000003
16,10,4,0.000001,0.002401,0.000002
17,10,4,0.000001,0.002938,0.000003
18,10,4,0.000001,0.003814,0.000002
19,10,4,0.000001,0.003924,0.000003
20,10,4,0.000001,0.004767,0.000003
21,10,4,0.000001,0.003103,0.000002
22,10,4,0.000001,0.004331,0.000002
23,10,4,0.000001,0.002596,0.000002
24,10,4,0.000001,0.003388,0.000001
25,10,4,0.000001,0.006451,0.000003
26,10,4,0.000001,0.006941,0.000003
27,10,4,0.000000,0.011823,0.000005
28,10,4,0.000001,0.001689,0.000004
29,10,4,0.000001,0.005153,0.000004
30,10,4,0.000001,0.005451,0.000004
1,10,8,0.000001,0.004857,0.000004
2,10,8,0.000001,0.003503,0.000002
3,10,8,0.000000,0.002213,0.000002
4,10,8,0.000001,0.003766,0.000003
5,10,8,0.000001,0.004571,0.000002
6,10,8,0.000001,0.004013,0.000002
7,10,8,0.000000,0.005389,0.000002
8,10,8,0.000001,0.003364,0.000002
9,10,8,0.000001,0.002589,0.000002
10,10,8,0.000001,0.002897,0.000002
11,10,8,0.000001,0.003673,0.000003
12,10,8,0.000001,0.005130,0.000002
13,10,8,0.000001,0.002457,0.000002
14,10,8,0.000001,0.002697,0.000003
15,10,8,0.000000,0.004185,0.000002
16,10,8,0.000000,0.004044,0.000003
17,10,8,0.000001,0.002769,0.000003
18,10,8,0.000000,0.002413,0.000002
19,10,8,0.000001,0.005430,0.000004
20,10,8,0.000002,0.002159,0.000002
21,10,8,0.000000,0.003364,0.000002
22,10,8,0.000001,0.002014,0.000002
23,10,8,0.000001,0.004111,0.000003
24,10,8,0.000001,0.003407,0.000003
25,10,8,0.000001,0.003167,0.000002
26,10,8,0.000001,0.002837,0.000002
27,10,8,0.000000,0.003690,0.000002
28,10,8,0.000001,0.004724,0.000002
29,10,8,0.000000,0.005089,0.000003
30,10,8,0.000001,0.003641,0.000002
1,10,16,0.000001,0.004412,0.000004
2,10,16,0.000001,0.003363,0.000003
3,10,16,0.000001,0.003320,0.000003
4,10,16,0.000000,0.003664,0.000003
5,10,16,0.000001,0.004943,0.000004
6,10,16,0.000001,0.003362,0.000002
7,10,16,0.000000,0.003561,0.000002
8,10,16,0.000001,0.003954,0.000002
9,10,16,0.000001,0.006228,0.000002
10,10,16,0.000001,0.003600,0.000002
11,10,16,0.000001,0.005911,0.000003
12,10,16,0.000001,0.003678,0.000002
13,10,16,0.000000,0.003853,0.000003
14,10,16,0.000001,0.003268,0.000003
15,10,16,0.000001,0.002338,0.000002
16,10,16,0.000000,0.005463,0.000002
17,10,16,0.000001,0.004737,0.000003
18,10,16,0.000001,0.003322,0.000002
19,10,16,0.000001,0.002751,0.000002
20,10,16,0.000001,0.002508,0.000002
21,10,16,0.000001,0.003243,0.000003
22,10,16,0.000001,0.004709,0.000003
23,10,16,0.000001,0.002766,0.000003
24,10,16,0.000001,0.003028,0.000002
25,10,16,0.000000,0.003810,0.000002
26,10,16,0.000000,0.003514,0.000002
27,10,16,0.000001,0.004181,0.000002
